aika,kulutus_vaihe1_Wh,kulutus_vaihe2_Wh,kulutus_vaihe3_Wh,tuotanto_vaihe1_Wh,tuotanto_vaihe2_Wh,tuotanto_vaihe3_Wh
2025-10-18T10:00:00,660,100,130,160,230,260
2025-10-18T11:00:00,630,95,125,170,240,270
2025-10-18T12:00:00,650,98,128,180,250,280
2025-10-18T13:00:00,670,102,133,190,260,290
2025-10-18T14:00:00,690,105,138,200,270,300
2025-10-18T15:00:00,710,108,143,210,280,310
2025-10-18T16:00:00,760,115,150,220,290,320
2025-10-18T17:00:00,830,125,165,230,300,330
2025-10-18T18:00:00,890,135,175,240,310,340
2025-10-18T19:00:00,850,130,170,250,320,350
2025-10-18T20:00:00,790,120,155,260,330,360
2025-10-18T21:00:00,730,110,140,270,340,370
2025-10-18T22:00:00,670,100,125,280,350,380
2025-10-18T23:00:00,610,90,115,290,360,390
2025-10-19T00:00:00,500,69,89,0,9,13
2025-10-19T01:00:00,480,66,86,0,8,11
2025-10-19T02:00:00,470,64,83,0,7,10
2025-10-19T03:00:00,460,62,80,0,6,9
2025-10-19T04:00:00,490,68,88,0,8,11
2025-10-19T05:00:00,610,85,109,18,35,45
2025-10-19T06:00:00,760,115,145,50,100,120
2025-10-19T07:00:00,880,135,175,110,170,200
2025-10-19T08:00:00,810,125,160,140,210,240
2025-10-19T09:00:00,710,110,140,160,230,260
2025-10-19T10:00:00,680,105,135,170,240,270
2025-10-19T11:00:00,650,100,130,180,250,280
2025-10-19T12:00:00,670,103,133,190,260,290
2025-10-19T13:00:00,690,107,138,200,270,300
2025-10-19T14:00:00,710,110,143,210,280,310
2025-10-19T15:00:00,730,113,148,220,290,320
2025-10-19T16:00:00,780,120,155,230,300,330
2025-10-19T17:00:00,850,130,170,240,310,340
2025-10-19T18:00:00,910,140,180,250,320,350
2025-10-19T19:00:00,870,135,175,260,330,360
2025-10-19T20:00:00,810,125,160,270,340,370
2025-10-19T21:00:00,750,115,145,280,350,380
2025-10-19T22:00:00,690,105,130,290,360,390
2025-10-19T23:00:00,630,95,120,300,370,400
