aika,kulutus_vaihe1_Wh,kulutus_vaihe2_Wh,kulutus_vaihe3_Wh,tuotanto_vaihe1_Wh,tuotanto_vaihe2_Wh,tuotanto_vaihe3_Wh
2025-10-16T07:00:00,820,120,160,110,210,260
2025-10-16T08:00:00,750,110,145,150,280,340
2025-10-16T09:00:00,650,95,125,170,320,380
2025-10-16T10:00:00,620,90,120,180,340,400
2025-10-16T11:00:00,590,85,115,170,320,380
2025-10-16T12:00:00,610,88,118,160,300,360
2025-10-16T13:00:00,630,92,123,150,280,340
2025-10-16T14:00:00,650,95,128,130,240,300
2025-10-16T15:00:00,670,98,133,110,200,260
2025-10-16T16:00:00,720,105,140,80,160,200
2025-10-16T17:00:00,790,115,155,35,70,90
2025-10-16T18:00:00,850,125,165,12,25,35
2025-10-16T19:00:00,810,120,160,0,0,0
2025-10-16T20:00:00,750,110,145,0,0,0
2025-10-16T21:00:00,690,100,130,0,0,0
2025-10-16T22:00:00,630,90,115,0,0,0
2025-10-16T23:00:00,570,80,105,0,0,0
2025-10-17T00:00:00,460,63,83,0,0,0
2025-10-17T01:00:00,440,60,80,0,0,0
2025-10-17T02:00:00,430,58,78,0,0,0
2025-10-17T03:00:00,420,56,75,0,0,0
2025-10-17T04:00:00,450,62,82,0,0,0
2025-10-17T05:00:00,570,79,103,15,30,35
2025-10-17T06:00:00,720,105,135,50,100,120
2025-10-17T07:00:00,840,125,165,120,230,280
2025-10-17T08:00:00,770,115,150,160,300,360
2025-10-17T09:00:00,670,100,130,180,340,400
2025-10-17T10:00:00,640,95,125,190,360,420
2025-10-17T11:00:00,610,90,120,180,340,400
2025-10-17T12:00:00,630,93,123,170,320,380
2025-10-17T13:00:00,650,97,128,160,300,360
2025-10-17T14:00:00,670,100,133,140,260,320
2025-10-17T15:00:00,690,103,138,120,220,280
2025-10-17T16:00:00,740,110,145,90,180,220
2025-10-17T17:00:00,810,120,160,40,80,100
2025-10-17T18:00:00,870,130,170,15,30,40
2025-10-17T19:00:00,830,125,165,0,0,0
2025-10-17T20:00:00,770,115,150,0,0,0
2025-10-17T21:00:00,710,105,135,0,0,0
2025-10-17T22:00:00,650,95,120,0,0,0
2025-10-17T23:00:00,590,85,110,0,0,0
2025-10-18T00:00:00,480,66,86,0,0,0
2025-10-18T01:00:00,460,63,83,0,0,0
2025-10-18T02:00:00,450,61,80,0,0,0
2025-10-18T03:00:00,440,59,78,0,0,0
2025-10-18T04:00:00,470,65,85,0,0,0
2025-10-18T05:00:00,590,82,106,18,35,40
2025-10-18T06:00:00,740,110,140,55,110,130
2025-10-18T07:00:00,860,130,170,130,250,300
2025-10-18T08:00:00,790,120,155,170,320,380
2025-10-18T09:00:00,690,105,135,190,360,420
2025-10-18T10:00:00,660,100,130,200,380,440
2025-10-18T11:00:00,630,95,125,190,360,420
2025-10-18T12:00:00,650,98,128,180,340,400
2025-10-18T13:00:00,670,102,133,170,320,380
2025-10-18T14:00:00,690,105,138,150,280,340
2025-10-18T15:00:00,710,108,143,130,240,300
2025-10-18T16:00:00,760,115,150,100,200,240
2025-10-18T17:00:00,830,125,165,45,90,110
2025-10-18T18:00:00,890,135,175,18,35,45
2025-10-18T19:00:00,850,130,170,0,0,0
2025-10-18T20:00:00,790,120,155,0,0,0
2025-10-18T21:00:00,730,110,140,0,0,0
2025-10-18T22:00:00,670,100,125,0,0,0
2025-10-18T23:00:00,610,90,115,0,0,0
2025-10-19T00:00:00,500,69,89,0,0,0
2025-10-19T01:00:00,480,66,86,0,0,0
2025-10-19T02:00:00,470,64,83,0,0,0
2025-10-19T03:00:00,460,62,80,0,0,0
2025-10-19T04:00:00,490,68,88,0,0,0
2025-10-19T05:00:00,610,85,109,20,40,45
2025-10-19T06:00:00,760,115,145,60,120,140
2025-10-19T07:00:00,880,135,175,140,270,320
2025-10-19T08:00:00,810,125,160,180,340,400
2025-10-19T09:00:00,710,110,140,200,380,440
2025-10-19T10:00:00,680,105,135,210,400,460
2025-10-19T11:00:00,650,100,130,200,380,440
2025-10-19T12:00:00,670,103,133,190,360,420
2025-10-19T13:00:00,690,107,138,180,340,400
2025-10-19T14:00:00,710,110,143,160,300,360
2025-10-19T15:00:00,730,113,148,140,260,320
2025-10-19T16:00:00,780,120,155,110,220,260
2025-10-19T17:00:00,850,130,170,50,100,120
2025-10-19T18:00:00,910,140,180,20,40,50
2025-10-19T19:00:00,870,135,175,0,0,0
2025-10-19T20:00:00,810,125,160,0,0,0
2025-10-19T21:00:00,750,115,145,0,0,0
2025-10-19T22:00:00,690,105,130,0,0,0
2025-10-19T23:00:00,630,95,120,0,0,0
